country_id,country
1,AD
2,AE
3,AF
4,AG
5,AI
6,AL
7,AM
8,AN
9,AO
10,AR
11,AS
12,AT
13,AU
14,AZ
15,BA
16,BB
17,BD
18,BE
19,BF
20,BG
21,BH
22,BI
23,BJ
24,BM
25,BN
26,BO
27,BR
28,BS
29,BT
30,BW
31,BY
32,BZ
33,CA
34,CD
35,CF
36,CG
37,CH
38,CI
39,CK
40,CL
41,CM
42,CN
43,CO
44,CR
45,CU
46,CV
47,CY
48,CZ
49,DE
50,DJ
51,DK
52,DM
53,DO
54,DZ
55,EC
56,EE
57,EG
58,ER
59,ES
60,ET
61,FI
62,FJ
63,FM
64,FR
65,GA
66,GB
67,GD
68,GE
69,GH
70,GM
71,GN
72,GQ
73,GR
74,GT
75,GU
76,GW
77,GY
78,HK
79,HN
80,HR
81,HT
82,HU
83,ID
84,IE
85,IL
86,IN
87,IQ
88,IR
89,IS
90,IT
91,JM
92,JO
93,JP
94,KE
95,KG
96,KH
97,KI
98,KM
99,KN
100,KP
101,KR
102,KW
103,KY
104,KZ
105,LA
106,LB
107,LC
108,LK
109,LR
110,LS
111,LT
112,LU
113,LV
114,LY
115,MA
116,MC
117,MD
118,ME
119,MG
120,MH
121,MK
122,ML
123,MM
124,MN
125,MO
126,MP
127,MR
128,MS
129,MT
130,MU
131,MV
132,MW
133,MX
134,MY
135,MZ
136,NC
137,NE
138,NG
139,NI
140,NL
141,NO
142,NP
143,NR
144,NU
145,NZ
146,OM
147,PA
148,PE
149,PF
150,PG
151,PH
152,PK
153,PL
154,PR
155,PS
156,PT
157,PW
158,PY
159,QA
160,RO
161,RS
162,RU
163,RW
164,SA
165,SB
166,SC
167,SD
168,SE
169,SG
170,SI
171,SK
172,SL
173,SM
174,SN
175,SO
176,SR
177,ST
178,SV
179,SY
180,SZ
181,TC
182,TD
183,TG
184,TH
185,TJ
186,TK
187,TL
188,TM
189,TN
190,TO
191,TR
192,TT
193,TV
194,TZ
195,UA
196,UG
197,US
198,UY
199,UZ
200,VC
201,VE
202,VG
203,VI
204,VN
205,VU
206,WF
207,WS
208,YE
209,YU
210,ZA
211,ZM
212,ZW
